;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Agregado
148;Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;36.67;Apartamento
149;Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;39.37;Apartamento
150;Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;22.97;Apartamento
151;Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;1300.0;935.0;217.0;40.62;Apartamento
152;Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;28;800.0;550.0;0.0;28.57;Apartamento
153;Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;45;1600.0;1100.0;350.0;35.56;Apartamento
154;Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;23.44;Apartamento
155;Terreno Padrão;Barra da Tijuca;0;0;0;1110;140000.0;0.0;0.0;126.13;Apartamento
156;Apartamento;Gávea;3;1;1;160;8000.0;2000.0;0.0;50.0;Apartamento
157;Conjunto Comercial/Sala;Centro;0;0;0;154;3900.0;5100.0;559.0;25.32;Apartamento
158;Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;31.0;Apartamento
159;Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;25.86;Apartamento
160;Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;55.0;Apartamento
161;Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;17.19;Apartamento
162;Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;13.33;Apartamento
163;Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;21;1200.0;588.0;0.0;57.14;Apartamento
164;Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;500.0;600.0;85.0;22.73;Apartamento
165;Apartamento;Ipanema;2;0;2;52;10000.0;3689.0;393.0;192.31;Apartamento
166;Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;48;2000.0;1064.0;0.0;41.67;Apartamento
167;Loja/Salão;Barra da Tijuca;0;1;0;120;4000.0;1400.0;1500.0;33.33;Apartamento
168;Apartamento;Leblon;4;4;4;380;40000.0;4700.0;1500.0;105.26;Apartamento
169;Conjunto Comercial/Sala;Centro;0;0;0;35;1000.0;322.0;33.0;28.57;Apartamento
170;Conjunto Comercial/Sala;Tijuca;0;1;0;20;1000.0;690.0;58.0;50.0;Apartamento
171;Loja/Salão;Barra da Tijuca;0;1;0;50;4500.0;1172.0;1327.0;90.0;Apartamento
172;Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;21.15;Apartamento
173;Conjunto Comercial/Sala;Centro;0;0;0;120;3000.0;1380.0;509.0;25.0;Apartamento
174;Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;36.11;Apartamento
175;Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0;16.0;Apartamento
176;Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;8;0;380;18000.0;5276.0;1851.0;47.37;Apartamento
177;Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;28.95;Apartamento
178;Quitinete;Catete;0;0;0;20;700.0;500.0;28.0;35.0;Apartamento
179;Apartamento;Ipanema;4;6;1;700;65000.0;8860.0;5699.0;92.86;Apartamento
180;Apartamento;Méier;2;0;0;56;899.0;402.0;135.0;16.05;Apartamento
181;Conjunto Comercial/Sala;Centro;0;0;0;270;7000.0;2800.0;1249.0;25.93;Apartamento
182;Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;16.9;Apartamento
183;Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0;34.29;Apartamento
184;Apartamento;Copacabana;3;1;1;500;15000.0;2580.0;366.0;30.0;Apartamento
185;Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;18.39;Apartamento
186;Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;42.86;Apartamento
187;Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;24;700.0;628.0;1120.0;29.17;Apartamento
188;Conjunto Comercial/Sala;Tijuca;0;0;0;21;1000.0;520.0;116.0;47.62;Apartamento
189;Apartamento;Ipanema;3;3;1;220;22000.0;4000.0;1200.0;100.0;Apartamento
190;Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;33.0;Apartamento
191;Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;26.88;Apartamento
192;Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;10.26;Apartamento
193;Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;29.41;Apartamento
194;Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;65.22;Apartamento
195;Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;52.86;Apartamento
196;Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0;16.84;Apartamento
197;Apartamento;Barra da Tijuca;4;4;4;392;30000.0;7000.0;3000.0;76.53;Apartamento
198;Casa Comercial;Botafogo;0;0;0;220;16000.0;0.0;0.0;72.73;Apartamento
199;Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;0.0;20.0;Apartamento
200;Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;47.5;Apartamento
201;Box/Garagem;Tijuca;0;0;0;0;380.0;0.0;0.0;inf;Apartamento
202;Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0;22.95;Apartamento
203;Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;28.0;Apartamento
204;Flat;Copacabana;1;1;0;63;3600.0;1215.0;0.0;57.14;Apartamento
205;Flat;Leblon;1;0;1;50;4500.0;1300.0;150.0;90.0;Apartamento
206;Apartamento;Ipanema;3;2;1;200;15000.0;1500.0;572.0;75.0;Apartamento
207;Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;0.0;26.43;Apartamento
208;Loja/Salão;Maracanã;0;0;0;85;6500.0;0.0;385.0;76.47;Apartamento
209;Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;50.0;Apartamento
210;Casa;Jardim Carioca;3;2;1;135;3000.0;0.0;0.0;22.22;Casa
211;Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;58;2100.0;495.0;140.0;36.21;Apartamento
212;Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;32.05;Apartamento
213;Conjunto Comercial/Sala;Copacabana;0;2;0;210;25200.0;6300.0;1890.0;120.0;Apartamento
214;Quitinete;Centro;0;0;0;28;700.0;400.0;16.0;25.0;Apartamento
215;Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;53.33;Apartamento
216;Conjunto Comercial/Sala;Tijuca;0;1;0;32;900.0;450.0;0.0;28.12;Apartamento
217;Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0;18.14;Apartamento
218;Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;18.46;Apartamento
219;Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;25.0;Apartamento
220;Apartamento;Copacabana;4;1;2;210;13000.0;2200.0;650.0;61.9;Apartamento
221;Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;0.0;15.19;Apartamento
222;Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;24.1;Apartamento
223;Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;0.0;22.5;Apartamento
224;Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;22.62;Apartamento
225;Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;20.78;Apartamento
226;Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;24;650.0;530.0;170.0;27.08;Apartamento
227;Apartamento;São Conrado;4;4;4;510;25000.0;6600.0;0.0;49.02;Apartamento
228;Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0;24.0;Apartamento
229;Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;43.65;Apartamento
230;Casa;Lins de Vasconcelos;2;0;0;40;950.0;0.0;50.0;23.75;Casa
231;Apartamento;Leblon;4;2;2;250;17500.0;4990.0;620.0;70.0;Apartamento
232;Conjunto Comercial/Sala;Botafogo;0;8;0;463;92600.0;11843.0;14355.0;200.0;Apartamento
233;Conjunto Comercial/Sala;Centro;0;0;0;190;4500.0;886.0;0.0;23.68;Apartamento
234;Conjunto Comercial/Sala;Centro;0;0;0;185;3000.0;10046.0;462.0;16.22;Apartamento
235;Conjunto Comercial/Sala;Centro;0;4;0;230;7000.0;3130.0;1202.0;30.43;Apartamento
236;Conjunto Comercial/Sala;Centro;0;0;0;55;1760.0;1420.0;0.0;32.0;Apartamento
237;Apartamento;Copacabana;4;2;2;436;17000.0;3900.0;1000.0;38.99;Apartamento
238;Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;80;2800.0;560.0;0.0;35.0;Apartamento
239;Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;0.0;18.5;Apartamento
240;Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0;21.13;Apartamento
241;Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;23.46;Apartamento
242;Casa de Condomínio;Barra da Tijuca;4;2;4;595;30000.0;2500.0;2510.0;50.42;Casa
243;Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;43.68;Apartamento
244;Loja/Salão;Copacabana;0;0;0;13;1500.0;520.0;95.0;115.38;Apartamento
245;Loja/Salão;Barra da Tijuca;0;1;0;95;15000.0;1800.0;1000.0;157.89;Apartamento
246;Conjunto Comercial/Sala;Centro;0;0;0;150;4000.0;2000.0;700.0;26.67;Apartamento
247;Casa de Condomínio;Recreio dos Bandeirantes;4;4;4;267;6500.0;700.0;3308.0;24.34;Casa
248;Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;24.31;Apartamento
249;Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;25;1000.0;450.0;0.0;40.0;Apartamento
250;Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;0.0;18.63;Apartamento
251;Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;60.0;Apartamento
252;Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0;18.46;Apartamento
253;Loja/Salão;Barra da Tijuca;0;1;0;50;1100.0;1338.0;0.0;22.0;Apartamento
254;Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;38.46;Apartamento
255;Quitinete;Copacabana;1;0;0;23;1000.0;562.0;0.0;43.48;Apartamento
256;Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;0.0;26.67;Apartamento
257;Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;36.0;Apartamento
258;Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;46.43;Apartamento
259;Apartamento;Campo Grande;2;0;0;60;800.0;380.0;0.0;13.33;Apartamento
260;Apartamento;Ipanema;4;1;1;170;12000.0;1210.0;4222.0;70.59;Apartamento
261;Casa;Tijuca;4;1;1;191;4000.0;300.0;0.0;20.94;Casa
262;Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0;38.57;Apartamento
263;Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;22.22;Apartamento
264;Casa de Condomínio;São Conrado;3;2;1;250;5500.0;750.0;500.0;22.0;Casa
265;Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;33.93;Apartamento
266;Loja/Salão;Barra da Tijuca;0;8;0;500;38000.0;0.0;4971.0;76.0;Apartamento
267;Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;13.95;Apartamento
268;Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;53.75;Apartamento
269;Conjunto Comercial/Sala;Centro;0;0;0;100;2800.0;1500.0;490.0;28.0;Apartamento
270;Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0;15.05;Apartamento
271;Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;19.35;Apartamento
272;Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;36.67;Apartamento
273;Conjunto Comercial/Sala;Cidade Nova;0;20;0;2160;129600.0;60480.0;0.0;60.0;Apartamento
274;Apartamento;Taquara;2;2;0;55;790.0;350.0;0.0;14.36;Apartamento
275;Quitinete;Centro;1;0;0;33;990.0;463.0;25.0;30.0;Apartamento
276;Apartamento;Copacabana;2;0;0;54;1800.0;590.0;0.0;33.33;Apartamento
277;Conjunto Comercial/Sala;Centro;0;10;0;1136;136370.0;22728.0;5682.0;120.04;Apartamento
278;Casa Comercial;Glória;0;0;0;139;16740.0;1953.0;139.0;120.43;Apartamento
279;Flat;Arpoador;1;1;1;55;3000.0;1865.0;337.0;54.55;Apartamento
280;Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0;47.14;Apartamento
281;Apartamento;Copacabana;5;1;3;390;10000.0;1000.0;1000.0;25.64;Apartamento
282;Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0;24.53;Apartamento
